1.238,-0.751,1.569,-2.057,-1.567,0.392,-0.163,1.069,1.101,-0.981,0.001,-0.002,0.196,-0.163,1.099,1.018,0.974,0,0,-0.229
1.654,-0.98,1.384,-2.247,-1.567,-1.045,0.006,0.919,1.103,-0.909,-0.002,-0.001,-0.416,-0.001,0.924,1.018,-0.358,0,0,0.934
1.673,-0.999,1.414,-2.244,-1.567,-1.017,-0.023,0.909,1.109,-0.909,-0.001,-0.002,-0.417,0,0.92,1.018,0.939,0,0,0.343
1.624,-0.975,1.426,-2.222,-1.568,-1.002,-0.031,0.93,1.112,-0.91,-0.002,-0.001,-0.416,0,0.934,1.018,0.934,0,0,0.357
1.197,-0.852,1.56,-1.916,-1.568,-1.5,-0.153,1.059,1.218,-0.735,-0.001,-0.001,-0.678,-0.155,1.05,1.018,0.699,0,0,-0.716
1.252,-0.798,1.56,-2.024,-1.567,0.385,-0.153,1.059,1.138,-0.98,0.001,-0.002,0.197,-0.155,1.05,1.018,-0.198,0,0,-0.98
1.27,-0.785,1.548,-2.058,-1.564,-2.765,-0.142,1.059,1.117,-0.198,-0.004,0,-0.98,-0.153,1.08,1.018,-0.139,0,0,-0.99
1.855,-1.234,1.685,-2.194,-1.566,2.08,-0.253,0.76,1.196,-0.554,0.002,-0.002,0.832,-0.239,0.783,1.018,-0.848,0,0,-0.53
1.847,-1.259,1.673,-2.159,-1.566,2.067,-0.244,0.759,1.216,-0.555,0.002,-0.001,0.832,-0.24,0.784,1.018,-0.848,0,0,-0.53
1.403,-1.067,1.215,-1.905,-1.568,-2.785,0.177,0.949,1.299,-0.349,-0.002,0,-0.937,0.188,0.949,1.018,0.948,0,0,-0.32
1.924,-1.304,1.278,-2.189,-1.569,1.359,0.057,0.758,1.209,-0.678,0.001,0,0.735,0.026,0.78,1.018,0.696,0,0,-0.718
1.532,-0.909,1.442,-2.196,-1.562,0.256,-0.042,0.971,1.1,0.982,0.001,0.005,-0.191,-0.061,0.979,1.018,0.99,0,0,-0.144
1.622,-0.978,1.548,-2.216,-1.567,-0.884,-0.144,0.919,1.115,-0.909,-0.001,-0.001,-0.417,-0.145,0.921,1.018,0.925,0,0,0.38
1.626,-0.968,1.548,-2.227,-1.568,2.257,-0.144,0.918,1.105,-0.418,0.001,0,0.909,-0.145,0.921,1.018,0.925,0,0,0.38
1.789,-1.387,1.543,-1.972,-1.57,-0.889,-0.143,0.758,1.329,-0.909,0,-0.001,-0.418,-0.145,0.921,1.018,0.925,0,0,0.38
1.642,-0.957,1.562,-2.228,-1.574,-0.865,-0.155,0.904,1.086,-0.91,0.014,-0.004,-0.415,-0.156,0.921,1.018,0.925,0,0,0.38
