entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
0.0,8.521767,4.2,-7.067254,4.0122766,282,282,-0.0016009807586669922,0.0010322062,0.02655136,0.02655136,470.2884018421173,1023
0.0,8.531985,3.65,-6.5863166,4.5766754,593,311,-0.027781963348388672,0.0010733223,0.02430857,0.02430857,938.4559206962585,2048
0.0,8.537961,3.1,-6.0096846,2.962679,897,304,-0.027068138122558594,0.0010019128,0.024467405,0.024467405,1404.6586663722992,3072
0.0,8.539848,2.625,-5.545782,1.9073577,1219,322,0.018228888511657715,0.0010785894,0.027904136,0.027904136,1876.6373364925385,4096
0.0,8.543654,2.825,-5.75899,2.3648112,1546,327,0.009776473045349121,0.0010456955,0.025564386,0.025564386,2345.8797466754913,5120
0.0,8.541519,2.65,-5.524844,1.7234402,1949,403,0.023049652576446533,0.0011138017,0.027504647,0.027504647,2806.6426532268524,6143
0.0,8.539333,3.475,-6.4051294,2.622271,2307,358,0.04018235206604004,0.001067718,0.025659403,0.025659403,3269.7871696949005,7166
0.0,8.538574,2.25,-5.170559,1.9695475,2741,434,0.010508239269256592,0.0010439277,0.028882809,0.028882809,3725.891515493393,8186
0.0,8.537941,2.5,-5.4101725,2.041566,3145,404,0.05182909965515137,0.0010495656,0.02822287,0.02822287,4182.999087572098,9214
0.0,8.534862,2.2,-5.1465707,2.5100515,3595,450,0.04197174310684204,0.0011921211,0.028568532,0.028568532,4634.251860618591,10240
0.0,8.538018,1.975,-4.9232545,1.4893082,4028,433,0.026782512664794922,0.0010493291,0.028097333,0.028097333,5088.463324308395,11262
0.0,8.5350485,2.25,-5.153619,1.4095075,4486,458,0.06821417808532715,0.0011073858,0.027435366,0.027435366,5536.70934343338,12287
0.0,8.529624,2.225,-5.1818266,2.4388106,4982,496,0.08670651912689209,0.0010832837,0.02755074,0.02755074,5985.0627546310425,13312
